name,split,map_loss,map_loss.stderr,weight,map_depth,map_depth.stderr,map_chamfer,map_chamfer.stderr
small/base,all,0.12764222278142281,0.0,16,4.175450037132283,0.0,1.222020172649772,0.0
small/base,bike,0.11492144648527713,0.0,16,4.178129238608453,0.0,1.1207757111697643,0.0
small/base,indoor,0.1603947372244955,0.0,16,3.7669760037896403,0.0,1.4357314165232957,0.0
small/base,outdoor,0.11670710762868913,0.0,16,4.44201721974878,0.0,1.1658945127828522,0.0
small/weight32,all,0.18425118896189185,0.0013098213391964783,32,4.609901584106155,0.031107183399379117,1.6280384794790432,0.01079243718498937
small/weight32,bike,0.16779014850021995,0.002387431486608162,32,4.198069600241944,0.0497255346395214,1.4715709657612082,0.01725408694002451
small/weight32,indoor,0.22280133124186274,0.0025310284931360843,32,4.7990172074072355,0.04534688936377911,1.9695570058937042,0.02294098039472227
small/weight32,outdoor,0.1726228896054222,0.0019674572787797486,32,4.8292148605437495,0.0554194060465513,1.5339020975811264,0.014205036784777142
small/weight64,all,0.23414661536171755,0.002592665675553532,64,5.028723432004959,0.05184923457632947,1.978279724239095,0.017117863694275978
small/weight64,bike,0.22142900459717182,0.004642596854268965,64,4.286461483650427,0.07573072351491665,1.7752265937167784,0.021662132253032658
small/weight64,indoor,0.265070217504708,0.00514990638928683,64,5.826928022993584,0.07652401385580646,2.4772732391541896,0.03839761894845397
small/weight64,outdoor,0.2244123173844112,0.0036381101812687834,64,5.123029692783158,0.07108447251999264,1.819400139226756,0.02055805090953323
small/weight8,all,0.09088322256622436,0.0009534176095880509,8,4.705057278848101,0.029775643252014934,1.0658238763648415,0.007393757820687719
small/weight8,bike,0.07764463034179223,0.0014164169296160638,8,5.0307293385021445,0.067061393754877,1.0319278193619634,0.011656402321878185
small/weight8,indoor,0.12166548134459569,0.0020074997681068197,8,3.6665291081558635,0.0365532464862403,1.1553901382172418,0.013810243331444231
small/weight8,outdoor,0.08167687051290143,0.0013363195243621354,8,5.116636354247946,0.05728353613652135,1.0351769881886752,0.011632033326586086
