name,split,map_loss,map_loss.stderr,aug,map_depth,map_depth.stderr,map_chamfer,map_chamfer.stderr
small/aug.lite,all,0.13228487298687788,0.0006881215989860063,partial,4.194557818954036,0.016046386121190928,1.2414947700253482,0.005879699273219674
small/aug.lite,bike,0.11819448274943638,0.0011170486185329853,partial,4.197957334396422,0.03221126148741233,1.1394282374949596,0.010728052256464449
small/aug.lite,indoor,0.16755080704222078,0.0014982131057839497,partial,3.7757704245326886,0.02264805275038426,1.4538238420382683,0.01205172726550855
small/aug.lite,outdoor,0.12083897507688071,0.0007283641393551518,partial,4.46730848671226,0.03375568962360373,1.1869647515337893,0.00808496847721827
small/aug.none,all,0.1345114553860223,0.0007393731989581877,full,4.1813378822937315,0.01709867271220945,1.2367160983790684,0.0061477217805042325
small/aug.none,bike,0.11953460258177077,0.000847914109698148,full,4.162269396788739,0.03005830933435028,1.1438388246224203,0.009712971381677961
small/aug.none,indoor,0.16962849984088743,0.0016377724497254895,full,3.8127172358876593,0.027229478413167134,1.477006961719985,0.012400995451621143
small/aug.none,outdoor,0.12390350562644391,0.0009486870130060626,full,4.439832239408822,0.03609426483241634,1.156114693777635,0.009682474120516411
small/base,all,0.12764222278142281,0.0,all,4.175450037132283,0.0,1.222020172649772,0.0
small/base,bike,0.11492144648527713,0.0,all,4.178129238608453,0.0,1.1207757111697643,0.0
small/base,indoor,0.1603947372244955,0.0,all,3.7669760037896403,0.0,1.4357314165232957,0.0
small/base,outdoor,0.11670710762868913,0.0,all,4.44201721974878,0.0,1.1658945127828522,0.0
