name,split,map_loss,map_loss.stderr,repr,map_depth,map_depth.stderr,map_chamfer,map_chamfer.stderr
small/amplitude,all,0.12807886515227304,0.000480526841982339,amplitude,4.083082715996342,0.014751262709929056,1.2128597573512714,0.005464496609604749
small/amplitude,bike,0.11514257726582261,0.0005510892438827066,amplitude,4.124038580501485,0.024490599931503692,1.133447790081198,0.01037507837383537
small/amplitude,indoor,0.16060629700723053,0.0011011823789453172,amplitude,3.741589193132149,0.025899112043002034,1.4303115082709477,0.011039990488330318
small/amplitude,outdoor,0.11747173868973852,0.0006080780898904968,amplitude,4.273622171478404,0.02756784790941575,1.1360484941325868,0.007438944470393402
small/aoa,all,0.15872178541069532,0.0011140136578754528,aoa,5.702851206952636,0.03837025461917372,1.7167038884558494,0.0139589093802654
small/aoa,bike,0.13846092905142235,0.0016312274321487114,aoa,5.657353183767733,0.07046140918485547,1.5498267039205982,0.02520262578416558
small/aoa,indoor,0.2006419084354366,0.0022202375273238243,aoa,5.197101245001395,0.06401001992282093,2.0367470124616385,0.024597842493682028
small/aoa,outdoor,0.14804756826509693,0.0017072153398697042,aoa,6.073646746530806,0.07037779605157468,1.6453886874435826,0.024327892724118214
small/base,all,0.12764222278142281,0.0,complex,4.175450037132283,0.0,1.222020172649772,0.0
small/base,bike,0.11492144648527713,0.0,complex,4.178129238608453,0.0,1.1207757111697643,0.0
small/base,indoor,0.1603947372244955,0.0,complex,3.7669760037896403,0.0,1.4357314165232957,0.0
small/base,outdoor,0.11670710762868913,0.0,complex,4.44201721974878,0.0,1.1658945127828522,0.0
small/cfar,all,0.1657351909128711,0.001396668305364048,cfar,6.267072411020616,0.05255240436149587,1.9242771863549601,0.017282052915444508
small/cfar,bike,0.14358394428005516,0.0020516485882850033,cfar,6.3035485171743835,0.15017964186633348,1.6693925501301368,0.030511817799238936
small/cfar,indoor,0.20602281049474566,0.002885737646888111,cfar,5.413044615456152,0.05453733715718533,2.2508921928764067,0.02618998303430688
small/cfar,outdoor,0.1577132226451936,0.0018970559879700887,cfar,6.798633741833815,0.11171282806186857,1.9220985182295252,0.03468834665267306
small/pad,all,0.12540807630991033,0.0005033335047377615,pad,3.8537440695754643,0.018638992487869255,1.1325061490753754,0.0057772410185344195
small/pad,bike,0.11236414973514425,0.0006815230740532496,pad,3.908881373950658,0.03404232153226763,1.064223223450273,0.0104719744303127
small/pad,indoor,0.15771186947101973,0.0011219970540040617,pad,3.4540851245001396,0.02762441003311756,1.2964520620698874,0.011243540260330384
small/pad,outdoor,0.11503797479096863,0.0006270612943988514,pad,4.07072355839109,0.0440787943405856,1.0816159483484036,0.008470431184531366
small/rawdoppler,all,0.15444189900556063,0.0010163816227817882,rawdoppler,5.35591331606631,0.03993311252420885,1.5517028680852631,0.012422144154203592
small/rawdoppler,bike,0.1325338669827294,0.0015816779706650356,rawdoppler,5.291394021041827,0.08571368942616009,1.405439795721984,0.023919258544903964
small/rawdoppler,indoor,0.18903668053392075,0.001841415450319097,rawdoppler,4.411602430717009,0.04228259291321779,1.7316412062331443,0.019184523743496253
small/rawdoppler,outdoor,0.1499631762681492,0.0018854840854110187,rawdoppler,6.031189279539786,0.0943857007447882,1.5553794502838083,0.02529493028608567
small/shuffle,all,0.1549660736369997,0.0011174919347759949,shuffle,5.4412504373016795,0.039815404016392886,1.576531534054293,0.012476455212424064
small/shuffle,bike,0.13193155678360644,0.001756444662899989,shuffle,5.3047525110891165,0.09419863933022299,1.368752062025734,0.02252972711125102
small/shuffle,indoor,0.19242822133939366,0.0021071797483483185,shuffle,4.53139530828606,0.0421189021258799,1.800874792209151,0.019370002189657586
small/shuffle,outdoor,0.1495407776139441,0.0018580020829564038,shuffle,6.153933060234697,0.08881910594349796,1.6023356101115345,0.025685583504372344
