name,split,map_loss,map_loss.stderr,patch,map_depth,map_depth.stderr,map_chamfer,map_chamfer.stderr
small/base,all,0.12537053165910722,0.0,rd,3.920714903855006,0.0,1.1826237985711743,0.0
small/base,bike,0.11291133833489131,0.0,rd,3.9248128138861396,0.0,1.0933261391546611,0.0
small/base,indoor,0.15864036671452153,0.0,rd,3.5310418458802193,0.0,1.3682806723995629,0.0
small/base,outdoor,0.11387661381357002,0.0,rd,4.173726495922645,0.0,1.1349873204204342,0.0
small/patch.dae,all,0.13316517037887204,0.0007081985505348076,dae,4.2685247129152835,0.01903375574086622,1.349771241353702,0.007565030645745185
small/patch.dae,bike,0.11713718442414495,0.0011026831961371616,dae,4.177248868176986,0.03201340720037236,1.2257746343341032,0.012683284539973813
small/patch.dae,indoor,0.17130996645921487,0.0015713770998550946,dae,4.195046222565796,0.029857019290498298,1.6907258439505255,0.013930520869235444
small/patch.dae,outdoor,0.12144211571120393,0.0006931836228566331,dae,4.3930669665396795,0.03702879311414001,1.228902150173651,0.010937694528362728
small/patch.rae,all,0.13322550314627052,0.0007051929329029112,rae,4.253606971662851,0.02008054922399036,1.3160517335559225,0.007711006130873522
small/patch.rae,bike,0.11895600925849555,0.000927578634572403,rae,4.2606348977235236,0.03702947287210232,1.201534376260127,0.01104218253409185
small/patch.rae,indoor,0.17075480934099785,0.0016457306813677278,rae,3.9697755132288663,0.03049852953589108,1.6126280892541616,0.015177052426682115
small/patch.rae,outdoor,0.1204396155343018,0.0006812999831128041,rae,4.43452087253867,0.04300786652111076,1.216474178026652,0.012399478966836025
small/patch.rdae,all,0.13060864578026896,0.0006970656199398689,rdae,4.105721517083919,0.017940218324288344,1.302133169102258,0.006849823632079118
small/patch.rdae,bike,0.11639453296835478,0.0010460414442172465,rdae,3.903849458374574,0.02885278868349154,1.1661601099976173,0.011162134988010993
small/patch.rdae,indoor,0.16609388713469497,0.0016174033993691796,rdae,3.9840037373291173,0.027635742472092155,1.602436529340649,0.013592046934860514
small/patch.rdae,outdoor,0.11912174697306115,0.0006317764658014324,rdae,4.354326834809749,0.038179254369882065,1.2180121507856367,0.009657986512074444
