name,split,seg_loss,seg_loss.stderr,mode,data,seg_acc,seg_acc.stderr,seg_top2,seg_top2.stderr,seg_miou,seg_miou.stderr
seg/base,all,0.6431131602488169,0.0064003413282171405,train,100,0.7418994179284483,0.002324725178512198,0.9179776446778084,0.0016942048111662105,0.6367078414328765,0.0025054162895500423
seg/base,bike,0.6619425513902636,0.01643717809325982,train,100,0.7278768982092452,0.005356335149424268,0.9071789139539572,0.004282578061454767,0.6265110066351406,0.0060235323144581295
seg/base,indoor,0.46843890404131405,0.00676567164601987,train,100,0.8354918576501906,0.002307175677729628,0.9627906347356552,0.001309333704582324,0.7566319155846043,0.002509509290786226
seg/base,outdoor,0.7423434846468078,0.01281955860626168,train,100,0.6920142315371551,0.0053417034673659755,0.8975013530622237,0.004068210462688977,0.5663011247150441,0.005791869421197787
seg/f10,all,0.6448456325070122,0.007350842597740104,full,10,0.7550669455168139,0.0023971798958350703,0.9195470398512253,0.0018167920529753056,0.6510701328323032,0.00249439102705329
seg/f10,bike,0.6735556225713919,0.015384021768357604,full,10,0.7402127523690385,0.004679526267905141,0.9098015529344917,0.003931916822825557,0.6381540058286594,0.004802114232290757
seg/f10,indoor,0.4427815021098763,0.008799742391716927,full,10,0.853521164878406,0.002348074761791606,0.9676805310146006,0.0013871663969935602,0.7797397928194457,0.002534911162748188
seg/f10,outdoor,0.7538528207761509,0.016221496165022838,full,10,0.7026764694351372,0.005833265522919244,0.8960065898433317,0.004575291614528874,0.5771779162076773,0.0061385966804071174
seg/f100,all,0.5533170003713228,0.008950862924191845,full,100,0.7809104678514218,0.003379582552112599,0.9354876450767503,0.0022828693057554447,0.6816463430071625,0.003627996038799813
seg/f100,bike,0.5615541172926061,0.021250125423245947,full,100,0.7762004712874372,0.008148010360284971,0.9294404149024891,0.005661030760244122,0.680603597891235,0.009400948664451049
seg/f100,indoor,0.4107863884642658,0.009929951400223527,full,100,0.8511822463789175,0.003737441218985117,0.9698238282339812,0.0018348522434366932,0.7758396276039244,0.004050883287362448
seg/f100,outdoor,0.6402364129603281,0.01899620029445551,full,100,0.7385981797249124,0.0075745463267842894,0.9179394057618457,0.0054080782759504025,0.6205310697510747,0.008198037299054375
seg/f20,all,0.6014087251658677,0.007247684927779435,full,20,0.7688260291166199,0.0025930684864359835,0.9282009140372305,0.0019062940937254974,0.6665587158060774,0.002767794793637209
seg/f20,bike,0.6371525629834305,0.017086136549267574,full,20,0.7550140876452582,0.00481867140781979,0.9154825770281169,0.004202773710480229,0.6546012385901243,0.005335685810778549
seg/f20,indoor,0.4194756877441179,0.008011965198662959,full,20,0.8536236072200781,0.0029279290933608656,0.9701823764298335,0.0015137624058621623,0.7792948770110667,0.0031858435527656786
seg/f20,outdoor,0.6912968216903046,0.015523691522293518,full,20,0.724552569097015,0.005790513685914263,0.911190589571763,0.004511132375520223,0.6023518062185401,0.006195040088674298
seg/f50,all,0.5576690631310186,0.0082252065654945,full,50,0.7806808844694993,0.0030826548175601465,0.9342802704825969,0.0022248235442993026,0.6813479037905616,0.0033030762514244206
seg/f50,bike,0.6081305531498589,0.01939055144917489,full,50,0.7606391220123538,0.007171414023692611,0.9191180429542872,0.004926318919684378,0.6632104824223762,0.008113294465828704
seg/f50,indoor,0.39405186888252114,0.008918372519737535,full,50,0.8591101756486562,0.0032102955050949448,0.9710298870082767,0.0018535709388645457,0.7868600804717288,0.0033500493128045977
seg/f50,outdoor,0.6232191454001622,0.01683238705251715,full,50,0.7457982158703202,0.006615356532533423,0.9227524584614678,0.005002685368752248,0.6270533795000076,0.007400492240518203
seg/p10,all,0.7501574190147977,0.0,train,10,0.7045909196224168,0.0,0.8934351427905064,0.0,0.5955331551392921,0.0
seg/p10,bike,0.7610334844339969,0.0,train,10,0.6955317334304777,0.0,0.8879634832426042,0.0,0.5905509245894278,0.0
seg/p10,indoor,0.5278038777695759,0.0,train,10,0.8152786577001767,0.0,0.9534430435111132,0.0,0.7324471677235422,0.0
seg/p10,outdoor,0.8874029309335842,0.0,train,10,0.6393126969829103,0.0,0.8585134388243754,0.0,0.5095932350713729,0.0
