name,split,map_loss,map_loss.stderr,patch,map_depth,map_depth.stderr,map_chamfer,map_chamfer.stderr
small/base,all,0.12537053165910722,0.0,128,3.920714903855006,0.0,1.1826237985711743,0.0
small/base,bike,0.11291133833489131,0.0,128,3.9248128138861396,0.0,1.0933261391546611,0.0
small/base,indoor,0.15864036671452153,0.0,128,3.5310418458802193,0.0,1.3682806723995629,0.0
small/base,outdoor,0.11387661381357002,0.0,128,4.173726495922645,0.0,1.1349873204204342,0.0
small/patch.rd2x,all,0.12722120004020107,0.000626443059040547,256,4.05319928374588,0.016374576666933295,1.261329469990364,0.005747232815725286
small/patch.rd2x,bike,0.1142500799034972,0.0009416563801333714,256,4.074240086238499,0.03264321625932741,1.1886583859149895,0.009192795601412273
small/patch.rd2x,indoor,0.15999301657458964,0.0014579717816898441,256,3.698557597298428,0.024143122284104233,1.4532434262531386,0.011781361374974653
small/patch.rd2x,outdoor,0.11648238664398494,0.000566082980864395,256,4.269013631982375,0.0353497745167305,1.1956966644864675,0.008648090765163227
small/patch.rd4x,all,0.13127292956834488,0.0005877936813408424,512,4.2419298660169025,0.017670275527718604,1.2867843596369015,0.0061871626890496745
small/patch.rd4x,bike,0.11795146084499523,0.0008564739228522803,512,4.185714629385242,0.03295340315848404,1.1607039039874996,0.009431101130190715
small/patch.rd4x,indoor,0.16389439647656467,0.0012529348131603629,512,3.9648005207848973,0.025787593262234287,1.5875008355226448,0.011058012428286012
small/patch.rd4x,outdoor,0.12092545392129864,0.0007657988637299733,512,4.471225673566806,0.03975967771179693,1.1941341883921606,0.011231606244821005
