name,split,bev_loss,bev_loss.stderr,mode,data,bev_chamfer,bev_chamfer.stderr
bev/base,all,0.07456636767442967,0.00019551432889856988,train,100,10.917260220584174,0.33206929550239833
bev/base,bike,0.07783529612407897,0.0004821929920400853,train,100,15.601406988892554,0.8586520649561382
bev/base,indoor,0.07229728631326723,0.00027968073986939744,train,100,6.6694919441086205,0.2772207062446287
bev/base,outdoor,0.07333092244419455,0.00031423098327675167,train,100,9.802639379752451,0.46920426799736625
bev/f10,all,0.08086115033933076,0.00014460788288716113,full,10,14.19661697282899,0.22971184773241188
bev/f10,bike,0.08357959505251292,0.00035121185275717936,full,10,20.439605557388468,0.6004559189557171
bev/f10,indoor,0.08083385863792372,0.00022392663335504167,full,10,9.348457988468335,0.16963366862573992
bev/f10,outdoor,0.07860997180562568,0.0002306550504275987,full,10,12.175898089074524,0.34604455863432704
bev/f100,all,0.07508737162894108,0.0002002405839967302,full,100,11.120601665735803,0.33952970780569725
bev/f100,bike,0.07846692575160838,0.000543731997718113,full,100,15.855827742952455,0.9135867480842018
bev/f100,indoor,0.07277800131540325,0.00027672287075889465,full,100,6.74844156863201,0.2685251036599041
bev/f100,outdoor,0.07378612419150947,0.00030471675489597875,full,100,10.045200884319396,0.45838267688669393
bev/f20,all,0.07987840232214864,0.00014901704507666924,full,20,13.645345268856142,0.2542605405527864
bev/f20,bike,0.08273689417970326,0.00039270556394255257,full,20,19.836465321309433,0.6738402794027377
bev/f20,indoor,0.07953847500043593,0.00020538258560782533,full,20,8.861255289221612,0.19182451756536645
bev/f20,outdoor,0.07771604829810591,0.0002459713273965346,full,20,11.625761157265035,0.3540794972071449
bev/f50,all,0.0772874498062063,0.00017006811185344507,full,50,12.389474685603108,0.29942022955926956
bev/f50,bike,0.08015341936849317,0.0004627092620528097,full,50,17.755054254188202,0.8178571764058089
bev/f50,indoor,0.07617743758282572,0.00023583308552368532,full,50,7.853037379103506,0.22078065239966985
bev/f50,outdoor,0.07562562244448141,0.0002734784761773926,full,50,10.896015016600114,0.40643981297175646
bev/p10,all,0.08539055523312016,0.0,train,10,16.80622472089412,0.0
bev/p10,bike,0.08797394730722351,0.0,train,10,24.14879119469189,0.0
bev/p10,indoor,0.08635002227757661,0.0,train,10,11.459910170417558,0.0
bev/p10,outdoor,0.0826027604142761,0.0,train,10,14.195493107510595,0.0
bev/p20,all,0.08239255133307964,0.0001278174995761305,train,20,14.9120762776881,0.21832397207516727
bev/p20,bike,0.08535392165791451,0.00029760414418177956,train,20,20.93807965834525,0.6497540829343644
bev/p20,indoor,0.08209258031370606,0.00017353146061020787,train,20,9.827107115456151,0.14568579843467763
bev/p20,outdoor,0.08011803256624746,0.00023413851277072307,train,20,13.22832040513456,0.29783039473125955
bev/p50,all,0.07705107554156361,0.0001770031638090118,train,50,12.090157029662864,0.29305139502354777
bev/p50,bike,0.07999928652477638,0.00045864161566203343,train,50,17.183348454855384,0.788795198506536
bev/p50,indoor,0.07556937349061017,0.0002451513643492075,train,50,7.584742339347159,0.22591262339171528
bev/p50,outdoor,0.07556520827595967,0.0002905264916524382,train,50,10.80364915622466,0.39666749649696303
bev/t10,all,0.08157728578355254,0.00013519772486637888,decoder,10,12.688401071619275,0.2631901221171831
bev/t10,bike,0.08443553262697497,0.0003204641740390716,decoder,10,17.861729718831334,0.7159708224108895
bev/t10,indoor,0.08123894521804961,0.00020257155314356578,decoder,10,8.330508055891379,0.20218902696424715
bev/t10,outdoor,0.07941411449488227,0.00022228597428994981,decoder,10,11.237920931442297,0.36173317181558895
bev/t100,all,0.07868486722331847,0.0001638563782688549,decoder,100,13.035324769380903,0.2848465152429073
bev/t100,bike,0.08152843433249936,0.00040999490745352287,decoder,100,18.428468327284726,0.8093470386217587
bev/t100,indoor,0.07771635450208662,0.00022554298401003756,decoder,100,8.19290183553427,0.21999230470263725
bev/t100,outdoor,0.07694866061183274,0.00027713575245211334,decoder,100,11.720211594069859,0.35670811608468717
bev/t20,all,0.08074858831153986,0.00014704858642876248,decoder,20,13.220958565282237,0.2718377241944726
bev/t20,bike,0.08328395748274772,0.00038862339649408165,decoder,20,18.380268475750576,0.7931349456529245
bev/t20,indoor,0.08045757261418325,0.00020941325398061156,decoder,20,9.06573456244769,0.19555368994767627
bev/t20,outdoor,0.07882376340631263,0.00023097146551257354,decoder,20,11.648810070225364,0.36684105212272755
bev/t50,all,0.07949750153055588,0.00015945072387481542,decoder,50,13.593895575427634,0.27489809402811777
bev/t50,bike,0.0823506133953774,0.00041157054454051467,decoder,50,19.327848344880678,0.7770643522666758
bev/t50,indoor,0.07877875106075048,0.0002178134319004871,decoder,50,8.83530613549707,0.20672780460536624
bev/t50,outdoor,0.07758892977559248,0.000272188565485431,decoder,50,11.939141842995058,0.3511644322532032
