name,split,map_loss,map_loss.stderr,size,data,map_depth,map_depth.stderr,map_chamfer,map_chamfer.stderr
medium/p10,indoor,0.20442777960220404,0.0013788127191127423,m,10,5.033998142960104,0.03274296830467167,1.9823332369455036,0.016204883017247682
medium/p10,outdoor,0.1467905471630636,0.0010533139795402553,m,10,5.685542601857377,0.04243581267727021,1.6241263664494117,0.01724728086881072
medium/p20,all,0.14950407016620532,0.0008715152541475327,m,20,5.265579064143718,0.026768422000062804,1.5501464193431576,0.010027812891747222
medium/p20,bike,0.12926746249404303,0.001168061432059094,m,20,5.383520175776238,0.04767026151929366,1.4052585092928627,0.015588778133578236
medium/p20,indoor,0.18934162359486886,0.0018265138906077283,m,20,4.676391544801451,0.0377048011834678,1.8305745344322515,0.016975375028166227
medium/p20,outdoor,0.14018011505331926,0.0012131528474302706,m,20,5.554856871834886,0.054477348549944155,1.4865463540949495,0.019834681392522452
medium/p50,all,0.13415674714296236,0.0012674490584408452,m,50,4.205229897932253,0.03858514851996969,1.2868646275110323,0.013066425642527456
medium/p50,bike,0.1203473933417189,0.0013223867012493995,m,50,4.251701744015543,0.08079910889039345,1.211365370339822,0.021110505523477003
medium/p50,indoor,0.16859570984550823,0.0028959637379454926,m,50,3.864174169417837,0.05303137790108069,1.4930813275946249,0.021515184782274908
medium/p50,outdoor,0.12302047415029604,0.0015129565316168991,m,50,4.3908772050611224,0.07277001000703515,1.2141807853689508,0.02461102949415655
small/base,all,0.12764222278142281,0.0013276305352712201,s,100,4.175450037132283,0.039448995030904654,1.222020172649772,0.013725455245873847
small/base,bike,0.11492144648527713,0.0015181042039590117,s,100,4.178129238608453,0.08273558029140514,1.1207757111697643,0.026095801987753083
small/base,indoor,0.1603947372244955,0.0029577403228652427,s,100,3.7669760037896403,0.0544510232546871,1.4357314165232957,0.02155412365499931
small/base,outdoor,0.11670710762868913,0.0015302741584785526,s,100,4.44201721974878,0.07638086621372898,1.1658945127828522,0.02548221847759438
small/p10,all,0.16412955771921856,0.0,s,10,5.771518311432446,0.0,1.7801030420853,0.0
small/p10,bike,0.1406009430331024,0.0,s,10,5.641757395798966,0.0,1.5514799044136516,0.0
small/p10,indoor,0.2121303675064517,0.0,s,10,5.164204538849623,0.0,2.0744289021087137,0.0
small/p10,outdoor,0.15218149010878046,0.0,s,10,6.279485281742935,0.0,1.7772528486023775,0.0
small/p20,all,0.15545056985395658,0.0009019636409393123,s,20,5.1679407233736985,0.023754841203443292,1.5294176484217246,0.009477753138424366
small/p20,bike,0.13131802357983705,0.0011907914634841383,s,20,5.114587342827816,0.05174613712304514,1.3831752160544741,0.017279718686720846
small/p20,indoor,0.20499443650899749,0.0019139737516939044,s,20,4.655091166418674,0.0328817171051812,1.8249432934413652,0.014962579551470182
small/p20,outdoor,0.14299121537499426,0.0012841353732724744,s,20,5.549966245161488,0.044665562513708006,1.4570127828521595,0.01816890665398544
small/p50,all,0.13679103424148872,0.001160165035378353,s,50,4.393035625510185,0.036077320227165574,1.2515368852459017,0.012558388601673425
small/p50,bike,0.12094034208720536,0.0013533587879359051,s,50,4.514921333718245,0.07086488484313086,1.1553570283001577,0.019423961375634555
small/p50,indoor,0.17599651060314564,0.0026063834869482112,s,50,3.9042018797079883,0.05093114787374192,1.4738233479900957,0.02195333912453401
small/p50,outdoor,0.12422200416245927,0.0014306319712785675,s,50,4.6129802175609305,0.0695641971293478,1.185540330816542,0.022773443872538112
